k,alpha,avg_steps,success_rate
5,0.18689655172413794,77.5,1.0
5,0.19344827586206897,177.0,1.0
5,0.2,111.7,0.9
6,0.01,123.7,0.8
6,0.016551724137931035,104.6,0.8
6,0.023103448275862068,117.7,1.0
6,0.029655172413793104,96.6,1.0
6,0.03620689655172414,103.1,1.0
6,0.04275862068965518,124.2,1.0
6,0.04931034482758621,79.7,1.0
6,0.05586206896551724,94.0,0.9
6,0.06241379310344828,81.6,0.9
6,0.06896551724137931,99.1,1.0
6,0.07551724137931035,81.9,1.0
6,0.08206896551724138,84.8,1.0
6,0.0886206896551724,96.4,0.9
6,0.09517241379310344,126.2,1.0
6,0.10172413793103448,102.7,1.0
6,0.10827586206896551,91.2,0.9
6,0.11482758620689655,98.9,1.0
6,0.12137931034482759,122.3,0.9
6,0.12793103448275864,131.8,1.0
6,0.13448275862068967,97.3,1.0
6,0.1410344827586207,137.4,1.0
6,0.14758620689655175,109.1,1.0
6,0.15413793103448278,82.8,1.0
6,0.16068965517241382,80.8,0.7
6,0.16724137931034483,116.2,1.0
6,0.17379310344827587,137.6,0.9
6,0.1803448275862069,117.9,0.8
6,0.18689655172413794,180.5,0.8
6,0.19344827586206897,118.4,0.8
6,0.2,140.9,0.9
7,0.01,144.5,0.9
7,0.016551724137931035,115.5,0.7
7,0.023103448275862068,144.4,0.9
7,0.029655172413793104,84.8,0.7
7,0.03620689655172414,94.5,1.0
7,0.04275862068965518,103.3,0.9
7,0.04931034482758621,100.2,1.0
7,0.05586206896551724,82.8,0.9
7,0.06241379310344828,99.2,1.0
7,0.06896551724137931,107.6,1.0
7,0.07551724137931035,131.6,1.0
7,0.08206896551724138,100.2,0.9
7,0.0886206896551724,96.7,0.8
7,0.09517241379310344,95.3,1.0
7,0.10172413793103448,92.6,1.0
7,0.10827586206896551,101.7,0.9
7,0.11482758620689655,81.1,0.8
7,0.12137931034482759,96.4,0.8
7,0.12793103448275864,91.3,1.0
7,0.13448275862068967,115.7,0.9
7,0.1410344827586207,130.3,0.9
7,0.14758620689655175,135.4,0.9
7,0.15413793103448278,77.2,1.0
7,0.16068965517241382,94.7,0.9
7,0.16724137931034483,80.5,1.0
7,0.17379310344827587,118.5,0.7
7,0.1803448275862069,201.5,1.0
7,0.18689655172413794,143.0,1.0
7,0.19344827586206897,93.1,0.7
7,0.2,93.7,1.0
